Sample	Escherichia_coli	Klebsiella_oxytoca	Klebsiella_pneumoniae
FT00134	0.959580	0.831967	0.818289	
FT00023	0.782142	0.688818	NA	
FT00011	0.616561	0.693094	0.780372	
FT00757	0.858524	0.878458	0.889334	
FT00313	0.746733	0.872092	0.548032	
FT00041	0.999956	NA	0.998941	
FT00042	0.865421	0.863995	0.874936	
FT00627	0.954173	-4.517603	0.989895	
FT00742	0.039256	0.202328	0.967803	
FT00733	0.805501	0.409315	0.785812	
FT00108	NA	NA	NA	
FT00715	0.916695	0.876894	0.832694		
