id,species,file,abundance
Klebsiella_oxytoca_KCTC_1686,Klebsiella_oxytoca,dbs/Klebsiella_oxytoca_KCTC_1686.xml,0.5744
Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae,dbs/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,0.436
Escherichia_coli_SE11,Escherichia_coli,dbs/Escherichia_coli_SE11.xml,0.6612
Escherichia_albertii_TW07627,Escherichia_albertii,dbs/Escherichia_albertii_TW07627.xml,0.006
Escherichia_fergusonii_ATCC_35469,Escherichia_fergusonii,dbs/Escherichia_fergusonii_ATCC_35469.xml,0.005200000000000001
Citrobacter_freundii_ATCC_8090,Citrobacter_freundii,dbs/Citrobacter_freundii_ATCC_8090.xml,0.1316
Citrobacter_amalonaticus_Y19,Citrobacter_amalonaticus,dbs/Citrobacter_amalonaticus_Y19.xml,0.013999999999999999
Citrobacter_koseri_ATCC_BAA_895,Citrobacter_koseri,dbs/Citrobacter_koseri_ATCC_BAA_895.xml,0.0072
Enterobacter_cloacae_EcWSU1,Enterobacter_cloacae,dbs/Enterobacter_cloacae_EcWSU1.xml,0.044000000000000004
Enterobacter_asburiae_LF7a,Enterobacter_asburiae,dbs/Enterobacter_asburiae_LF7a.xml,0.018799999999999997
Enterobacter_hormaechei_YT3,Enterobacter_hormaechei,dbs/Enterobacter_hormaechei_YT3.xml,0.008
Cronobacter_sakazakii_ATCC_BAA_894,Cronobacter_sakazakii,dbs/Cronobacter_sakazakii_ATCC_BAA_894.xml,0.01
Salmonella_enterica_enterica_sv_Typhimurium_LT2,Salmonella_enterica,dbs/Salmonella_enterica_enterica_sv_Typhimurium_LT2.xml,0.0348
Lactobacillus_paracasei_subsp_paracasei_ATCC_25302,Lactobacillus_paracasei,dbs/Lactobacillus_paracasei_subsp_paracasei_ATCC_25302.xml,0.0868
Lactobacillus_casei_ATCC_334,Lactobacillus_casei,dbs/Lactobacillus_casei_ATCC_334.xml,0.0212
Lactobacillus_salivarius_salivarius_UCC118,Lactobacillus_salivarius,dbs/Lactobacillus_salivarius_salivarius_UCC118.xml,0.1508
Lactobacillus_rhamnosus_GG_ATCC_53103,Lactobacillus_rhamnosus,dbs/Lactobacillus_rhamnosus_GG_ATCC_53103.xml,0.0556
Lactobacillus_plantarum_JDM1,Lactobacillus_plantarum,dbs/Lactobacillus_plantarum_JDM1.xml,0.0356
Pediococcus_acidilactici_DSM_20284,Pediococcus_acidilactici,dbs/Pediococcus_acidilactici_DSM_20284.xml,0.032799999999999996
Streptococcus_thermophilus_LMG_18311,Streptococcus_thermophilus,dbs/Streptococcus_thermophilus_LMG_18311.xml,0.0176
Streptococcus_salivarius_JIM8777,Streptococcus_salivarius,dbs/Streptococcus_salivarius_JIM8777.xml,0.0128
Veillonella_parvula_Te3_DSM_2008,Veillonella_parvula,dbs/Veillonella_parvula_Te3_DSM_2008.xml,0.0588
Eubacterium_rectale_M104_1,Eubacterium_rectale,dbs/Eubacterium_rectale_M104_1.xml,4.0
